catalog_id,collection_id,title,noinduk_deposit,publishlocation,tag_090
163725,154928,"Permasalahan permohonan restitusi pajak pertambahan nilai (Studi kasus PT Yamaha Indonesia) / Narti Eka Putri",,,"CB[G]-D.9 04-697"
266970,198109,"Hubungan antara tingkat pengetahuan dan sikap tokoh masyarakat tentang Program Keluarga Berencana dengan intensitas keterlibatan mereka dalam kegiatan Program Keluarga Berencana di Kecamatan Sooko Kabupaten Mojokerto / oleh Choirul Bashor",,"Malang :","CB-D. 13 94-648/1949-94"
18837,203093,"Hubungan antara kadar seng plasma dengan infeksi virus sitomegalus pada ibu hamil / oleh: Dermawan Claudina Nadeak",,,"CB[G]-D.9 03-9"
8281,206709,"5 relationship, success & happiness / Hengki Irawan Setia Budi",,"Jakarta :","CB-D.9 2011-633/2669-2011"
22382,220409,"Masyarakat sipil dan konflik Aceh : (stud kasus potensi peranan masyarakat sipil dalam penyelesaian konflik) / oleh, Muharram",,,"CB[G]-D.9 06-19"
145929,225258,"Analisis pengaruh pelaksanaan penilaian Kinerja terhadap reaksi Karyawan: (Studi Kasus pada Pegawai Muda Direktorat Pengawasan Bank di Bank Indonesia)/ Oleh M. Eka Gonda Sukmana",,,"CB [G] - D.9 05-2057"
111539,223861,"Pengaruh krisis Keuangnan Asia 1997 terhadap hubungan Pemerintah-Bisnis di Korea Selatan Periode 1998-2003/ Oleh Nurdin",,,"CB [G] - D.9 05-2228"
14071,219202,"Pelaksanaan program perkebunan inti rakyat (PIR-BUN) kemitraan di Kecamatan Pasaman Kabupaten Pasaman / oleh Elqadri",,,"CB [G] - D.10 04-878"
254873,222280,"Analisis learning organization pada wilayah kerja kantor pelayanan bea dan cukai tpe A khusus Soekarno-Hatta / Hary Budi Wicaksono",,,"CB[G]-D.9 05-1189"
146302,227014,"Pengenaan pajak pertambahan nilai atas transaksi murabahah pada bank Syariah / Wuwu Romdonuwu",,2005,"CB [G]-D.9 05-1203"
5066,227632,"Pengaruh badan pembersih dan lama penyikatan terhadap kehalusan permukaan lempeng resik akrilik : Suatu kajian laboratorik menggunakan sabun cair dan pasta gigi / Endah Kusumaningtyas",,,"CB[G]-D.9 99-668"
207426,238099,"Analisis tentang pemahaman terhadap kebijakan E-Government oleh para pejabat di Sekretariat Negara Republik Indonesia / Andrie Syahriza",,,"CB[G]-D.9 04-718"
95219,230131,"Pengaruh metoda latihan berdistribusi dan metoda latihan padat terhadap penguasaan keterampilan serial : eksperimen dlam permainan bola voli / oleh Ade Angga",,"Bandung :","CB-D.10 91-2717/3748-93"
183200,231264,"Persepsi pengguna jasa (klien) terhadap kualitas pelayanan panti sosial bina remaja taruna jasa Tebet / Sri Utami",,,"CB[G]-D.9 04-678 Kop. 2"
183485,232671,"Analisis kinerja instalasi rawat jalan RSUD pasar rebo DKI Jakarta dengan menggunakan pendekatan konsep Balanced Scorecard / Yoserizal",,,"CB[G]-D.9 04-675"
50798,230737,"Faktor-faktor yang menyebabkan kepuasan dan ketidakpuasan kerja para pekerja kontrak : (studi kasus di Unit Real Estate PT. SMM, Jakarta) / oleh, Nurul Eka Hidayati",,,"CB[G]-D.9 06-13"
189979,234556,"Pengaruh penggunaan Hidroksiapatit terhadap Proses pembentukan tulang pada kesembuhan luka pencabutan gigi / Mohammad Lukman Bahar",,,"CB[G]-D.13 96-450"
163993,235812,"Analisis persepsi wajib pajak tentang pajak dan kualitas pelayanan (Studi kasus : wilayah kerja KPP Jakarta penjaringan / Bakrin",,,"CB[G]-D.9 04-694"
36334,268635,"Prosiding Seminar Tsunami dalam Kerangka Research on Tsunami Hazard and Its Effects on Indonesia Coastal Region (2002-2003-2004) : penerapan hasil riset untuk penanggulangan bencana tsunami di Indonesia / tim editor, Ahmad Sadikin ... [et al.]",,"Yogyakarta :","CB[G]-D.11 05-2928"
271400,282822,"Pengaruh pemberian ringkasan dalam metode ceramah terhadap hasil belajar ilmu pengetahuan alam siswa sekolah menengah pertama / oleh I Ketut Seneng Andyana",,"Malang :","CB-D. 13 94-646/1947-94"
36334,285780,"Prosiding Seminar Tsunami dalam Kerangka Research on Tsunami Hazard and Its Effects on Indonesia Coastal Region (2002-2003-2004) : penerapan hasil riset untuk penanggulangan bencana tsunami di Indonesia / tim editor, Ahmad Sadikin ... [et al.]",,"Yogyakarta :","CB[G]-D.11 05-2928"
19184,292631,"Sumbangan sosial perusahaan sebgai pengurang penghasilan kena pajak / ol;eh B.M.Milk Hutabarat",,2005,"CB[G]-D.9 2005-1079"
52210,303234,"Cigugur : arena kontestasi dalam keberagaman / oleh Mohammad Fathi Royyani",,,"CB [G] - D.10 04-894"
36983,297875,"Konflik dan konsensus di lembaga legislatif daerah: studi tentang penyelesaian kasus ""dana kaveling"" di DPRD Propinsi Jawa Barat / oleh Muslim Mufti",,,"CB [G] - D.9 04-845"
51600,308730,"Analisis perlakuan pajak atas transaksi murabahah : suatu studi untuk meningkatkan kepastian hukum / oleh, Isra",,,"CB[G]-D.9 06-79"
142910,307635,"Pencegahan HIV/AIDS pada kelompok pengguna narkoba suntik : studi kasus 2 program intervensi di Jakarta / oleh, Octavery Kamil",,2004,"CB [G] - D.10 04-816"
42063,306991,"Every day make-up : riasan kasual, kuliah, dan kerja / Oleh, Ade Aprilia ; editor, Nana Lystiani ; rias wajah dan rambut, Merry Welinda ; fotografer, Insan Kurniawan",,"Jakarta :","CB-D.9 10-5461"
14069,301198,"Evaluasi program peningkatan kualitas hidup pemuda : (studi kasus perubahan perilaku di Desa Parakan Garokgek, Kec. Kiara Pedes, Kab. Purwakarta Jawa Barat) / oleh Fausih",,,"CB [G] - D.10 04-745"
54919,300876,"Multi-micronutrient supplementation for infant growth and development, and the contributing role of psychosocial care / oleh, Umi Fahmida",,,"CB[G]-D.9 03-425"
209589,300807,"Pelaksanaan jaminan sosial tenaga kerja oleh pengusaha hutan tanaman industri di Kalimantan Barat ? H.Yacop Djasmani",,,"CB[G]-D.13 97-143"
118660,301601,"Faktor-faktor yang berhubungan dengan kejadian Hepatitis B di wilayah kerja puskesmas Tanjungsari Sumedang : laporan penelitian / Taty Hernawaty, Kusman Ibrahim, Aat Sriati",,,"CB[G]-D.10 06-2366"
142631,307812,"Identitas sebagai dinamika sosial dari sudut pandang stuart hall : (studi kasus kelompok etnis Cina Pasar Baru Jakarta) / oleh, Anitasa Dewi",,2005,"CB [G] - D.9 05-2172"
229615,305682,"Efektivitas teknik membaca SQ3R di SMA / oleh Sri Pujiastuti",,"Malang :","CB-D.13 91-1914/2999/92"
176385,314710,"Analisis tingkat pembelajaran dan peran manajemen sumber daya manusia (HRD) di PT. Bank Bukopin / Sri Suryani",,,"CB[G]-D.10 04-673"
14477,358497,"Analisis regresi gulud untuk menyelesaikan multikolinearitas pada regresi linear berganda : aplikasi pada data pengetahuan sikap dan perilaku masyarakat terhadap program kesehatan ibu dan anak / oleh: Atik Mawarni",,,"CB[G]-D.13 97-24"
248406,372006,"Deviation and repair of learners verbal communication in English speaking classes/ oleh Subardi",,,"CB-D.13 94-2963/2043-95"
165968,379792,"Pengaruh penambahan serum dalam media TCM 199 dan CR 1 terhadap perkembangan embrio kambing lokal / Enny Yul",,,"CB[G]-D.13 97-221"
255167,381264,"Evaluasi implementasi kebijakan kemitraan usaha : (studi kasus kemitraan usaha pada Yayasan Dharma Bakti Astra) / Yuyun Yuningsih",,,"CB[G]-D.9 05-1135"
145933,389026,"Faktor-faktor yang mempengaruhi Ketidakterwakilan Perempuan di DPRD Provinsi Bali HAsil Pemilu 199/ Oleh Ni Nyoman Tisnawati",,,"CB [G] - D.9 05-2251"
