catalog_id,collection_id,title,noinduk_deposit,publishlocation,tag_090
239944,21897,"Hubungan antara berpikir logis dan gaya kognitif dengan kemampuan menyelesaikan soal cerita aljabar siswa kelas II A2 SMA Negeri di Kotamadya Samarinda / oleh PM Labulan.",,"Malang :","##$a 512.072 LAB h"
239944,21897,"Hubungan antara berpikir logis dan gaya kognitif dengan kemampuan menyelesaikan soal cerita aljabar siswa kelas II A2 SMA Negeri di Kotamadya Samarinda / oleh PM Labulan.",,"Malang :","##$a CB-D.13 95-4575"
368287,43723,"ASEAN statistical yearbook 2004",,"Jakarta :","$a U.N. : 7820-2004"
883643,1106987,"Jio / Seishi Kishimoto ; alih bahasa, Milianti ; editor, Hyasinta",,"Jakarta :","$a CB-D.9 2010-8788(5)/4347-2012; ..(6)/5525-2012; ..(18)/4528-2009 ; 4283-2012 ; 2011-1890/6361-2011 ; 2009-.../5361-2011 ; 2009-.../3691-2011 ; 2010- /3789-2011 (8) ; 4131-2012 (8) ; 4132-2012 (9) ; 4133-2012 (10) ; 4134-2012 (17) ; 2010-9733(4) ; 2010-9605 (8)"
4931,59340,"Studi ekonomi media : Membaca selera pemirsa masyarakat televisi denpasar / Oleh : Ni Made Ras Amanda G.",,2005,"##$a CB[G]-D.9 05-1160"
254870,58169,"Persepsi tentang kompetensi dan motivasi kerja pegawai pada unit pelayanan kesehatan terhadap kepuasan pelayanan kesehatan pegawai Sekretariat Jenderal DPR RI / Damayanti",,,"##$a CB[G]-D.9 05-1192"
209875,58184,"Imoplementasi kebijakan linkukngan di Gresik : studi implementasi kebijakan lingkungan dalam kaitannya dengan pencemaran limbah Industri / Amelia Ernawati Tucunan",,,"##$a CB[G]-D.13 96-402"
20280,57030,"Pengaruh efektivitas komunikasi interpersonal dan kepemimpinan terhadap kinerja pemeriksa paten pada direktorat jenderal hak kekayaan intelektual / oleh Ira Deviani / oleh Ira Deviani",,,"##$a CB [G] - D.9 05-1036"
149369,65325,"Analisis kepuasan pengunjung Puskesmas dalam pelayanan kesehatan gratis di Puskesmas Glugur Darat dan Darussalam Kota Medan tahun 2005 / diajukan oleh Nurmansyah",,,"##$a CB [G] - D.9 05-1357"
146739,65778,"kebijakan luar negeri Jerman terhadap bergabungnya Polandia ke dalam Uni Eropa (1991-1994) / oleh, Agung Apriyono",,,"##$a CB[G]-D.10 06-30"
