contributor_id,count_contributor,name,slug,show,created_at,updated_at
75,6.0,editor/penyunting,editorpenyunting,0,2019-08-02 16:14:37,2021-04-22 13:30:42
76,3.0,penyelaras bahasa,penyelaras-bahasa,1,2019-08-05 09:43:28,2021-05-05 10:21:55
77,2.0, editors,editors,0,2019-08-06 11:09:35,2019-08-06 11:09:35
79,1.0, Eeditor,eeditor,0,2019-08-16 11:38:12,2019-08-16 11:38:12
80,1.0, ilustrator : Pujiyanto,ilustrator-pujiyanto,0,2019-08-30 14:46:51,2019-08-30 14:46:51
81,1.0, editor Prof. Dr. Murodi,editor-prof-dr-murodi,0,2019-09-03 09:17:58,2019-09-03 09:17:58
82,11.0,penyunting/editor,penyuntingeditor,0,2019-09-06 10:38:40,2021-04-22 14:44:30
83,5.0, Editor Materi,editor-materi,0,2019-09-16 13:35:34,2019-09-16 13:35:34
84,2.0, penejemah,penejemah,0,2019-09-18 06:42:08,2019-09-18 06:42:08
85,78.0,ilustrasi,ilustrasi,1,2019-09-18 06:42:08,2021-05-05 10:21:47
86,8.0,translator,translator,0,2019-09-25 09:11:13,2021-05-05 11:40:00
87,36.0, editing,editing,0,2019-09-25 09:39:27,2019-09-25 09:39:27
88,15.0,editor alih bahasa,editor-alih-bahasa,0,2019-09-25 09:39:27,2021-05-03 10:47:49
89,1.0, editor translite,editor-translite,0,2019-09-25 10:42:34,2019-09-25 10:42:34
90,1.0, Editor translete bahasa,editor-translete-bahasa,0,2019-09-25 14:09:45,2019-09-25 14:09:45
91,25.0, ilustrasi ingking,ilustrasi-ingking,0,2019-09-25 14:09:45,2019-09-25 14:09:45
92,13.0, Editor translate bahasa,editor-translate-bahasa,0,2019-09-25 15:24:18,2019-09-25 15:24:18
93,1.0, co writer,co-writer,0,2019-10-09 11:26:13,2019-10-09 11:26:13
94,3.0,penyunting,penyunting,0,2019-10-09 15:40:45,2021-05-05 12:25:39
95,67.0,penyunting bahasa,penyunting-bahasa,1,2019-10-10 10:27:43,2021-05-06 07:52:14
96,1.0, desain dan ilustrator,desain-dan-ilustrator,0,2019-10-14 08:58:51,2019-10-14 08:58:51
97,9.0, ilustrator isi,ilustrator-isi,0,2019-10-14 14:51:23,2019-10-14 14:51:23
98,2.0,content editor,content-editor,0,2019-10-16 08:27:38,2021-04-28 10:43:16
99,2.0, Gambar ilustrasi,gambar-ilustrasi,0,2019-10-18 15:33:08,2019-10-18 15:33:08
100,3.0,editor ahli,editor-ahli,1,2019-10-21 09:23:40,2021-05-06 07:32:39
101,18.0,editor bahasa,editor-bahasa,1,2019-10-21 13:30:16,2021-05-06 07:32:34
106,3.0,tim editor,tim-editor,0,2019-11-01 16:25:35,2021-05-06 07:32:03
107,1.0, editor Prof. Dr. Anshari,editor-prof-dr-anshari,0,2019-11-07 12:27:57,2019-11-07 12:27:57
108,1.0, editor Puspa Dewi,editor-puspa-dewi,0,2019-11-11 08:30:46,2019-11-11 08:30:46
110,1.0,Ilustrator,ilustrator,0,2019-11-20 09:36:55,2021-05-05 11:42:08
111,8.0,penyunting isi,penyunting-isi,1,2019-11-22 10:30:12,2021-05-06 07:51:36
112,403.0,Peredaksi,peredaksi,1,2019-11-22 14:15:43,2021-05-06 07:30:45
113,1.0,penyunting,penyunting,1,2019-11-29 15:22:35,2021-05-06 07:44:14
114,7.0, Illustrator,illustrator,0,2019-12-02 08:07:18,2019-12-02 08:07:18
115,1.0, Penerjemah: S.M. Fitriyah,penerjemah-sm-fitriyah,0,2019-12-02 08:38:07,2019-12-02 08:38:07
116,2.0,peredaksi,peredaksi,0,2019-12-02 11:22:17,2021-05-05 12:00:18
117,1.0,Ilustrator,ilustrator,0,2019-12-03 07:38:42,2021-05-05 11:43:02
118,25.0,penyusun,penyusun,1,2019-12-03 10:41:41,2021-05-05 10:21:15
119,2.0, Ilusrator,ilusrator,0,2019-12-03 16:25:53,2019-12-03 16:25:53
120,57.0,penyunting naskah,penyunting-naskah,1,2019-12-04 09:24:16,2021-05-05 12:15:32
121,1.0, Penyelia,penyelia,0,2019-12-04 11:08:49,2019-12-04 11:08:49
122,1.0, Editor: Meisesa,editor-meisesa,0,2019-12-09 13:48:47,2019-12-09 13:48:47
123,10.0,pengkaji,pengkaji,1,2019-12-10 14:28:01,2021-05-06 07:38:19
124,1.0, Ilsutrator,ilsutrator,0,2019-12-10 15:38:17,2019-12-10 15:38:17
125,1.0,Ilustrator,ilustrator,0,2019-12-10 15:59:25,2021-05-05 11:42:18
126,1.0,ilustrator,ilustrator,0,2019-12-10 16:11:56,2021-05-05 11:41:30
127,5.0,korektor,korektor,1,2019-12-11 08:05:51,2021-05-06 07:39:51
128,3.0, Ilustrasi sampul dan isi,ilustrasi-sampul-dan-isi,0,2019-12-11 09:04:19,2019-12-11 09:04:19
129,3.0,Penyunting ilustrasi,penyunting-ilustrasi,1,2019-12-11 09:04:19,2021-05-06 07:44:55
130,1.0,pengolah data,pengolah-data,1,2019-12-11 09:19:09,2021-05-06 07:38:35
131,1.0,penyunting naskah,penyunting-naskah,0,2019-12-11 09:19:45,2021-05-05 12:13:50
132,6.0, ilustrator komik,ilustrator-komik,0,2019-12-11 10:10:48,2019-12-11 10:10:48
133,1.0,penyunting naskah,penyunting-naskah,0,2019-12-11 11:08:04,2021-05-05 12:13:40
134,8.0,ilustrasi sampul,ilustrasi-sampul,1,2019-12-11 11:09:21,2021-05-06 07:47:11
135,7.0,ilustrasi isi,ilustrasi-isi,1,2019-12-11 11:09:21,2021-05-06 07:46:44
136,1.0, komik,komik,0,2019-12-11 11:12:46,2019-12-11 11:12:46
137,13.0,pengarang,pengarang,1,2019-12-11 13:42:46,2021-05-05 10:20:57
138,3.0, gambar,gambar,0,2019-12-11 14:12:36,2019-12-11 14:12:36
139,1.0,ilustrator,ilustrator,0,2019-12-11 14:29:03,2021-05-05 11:41:40
140,1.0,ilustrator,ilustrator,1,2019-12-11 15:17:22,2021-05-06 07:50:43
141,1.0,translator,translator,0,2019-12-11 16:40:36,2021-05-05 11:39:40
142,1.0,editor,editor,1,2019-12-11 16:40:36,2021-05-06 07:41:07
145,2.0, ilustrasi isi & sampul,ilustrasi-isi-sampul,0,2019-12-12 10:42:40,2019-12-12 10:42:40
146,6.0, penyunting bahasa dan penyelaras akhir,penyunting-bahasa-dan-penyelaras-akhir,0,2019-12-12 10:49:28,2019-12-12 10:49:28
147,1.0, ilustrasi isi dan sampul,ilustrasi-isi-dan-sampul,0,2019-12-12 10:56:25,2019-12-12 10:56:25
148,1.0,Ilustrator,ilustrator,0,2019-12-12 11:39:06,2021-05-05 12:41:50
149,21.0,penyelaras aksara,penyelaras-aksara,1,2019-12-12 14:46:27,2021-05-05 12:24:44
150,1.0,penyunting bahasa,penyunting-bahasa,0,2019-12-12 14:56:53,2021-05-06 07:52:04
151,1.0,penyunting bahasa,penyunting-bahasa,0,2019-12-26 14:48:19,2021-05-05 12:14:41
152,1.0, diedit oleh Nabeela Latha Kalla,diedit-oleh-nabeela-latha-kalla,0,2019-12-27 10:56:18,2019-12-27 10:56:18
153,1.0, diedit oleh Carol Kagezi ,diedit-oleh-carol-kagezi,0,2019-12-30 07:48:30,2019-12-30 07:48:30
154,15.0,Desain Sampul dan Ilustrasi,desain-sampul-dan-ilustrasi,0,2019-12-30 14:38:53,2021-04-26 09:49:02
158,1.0, editor Akuisisi,editor-akuisisi,0,2020-02-03 14:30:20,2020-02-03 14:30:20
